ab,cid,name,atc_group1,atc_group2,oral_ddd,oral_units,iv_ddd,iv_units
AMA,4649.0,4-aminosalicylic acid,Drugs for treatment of tuberculosis,Aminosalicylic acid and derivatives,12.0,g,,
ACM,6450012.0,Acetylmidecamycin,,,,,,
ASP,49787020.0,Acetylspiramycin,,,,,,
ALS,8954.0,Aldesulfone sodium,Drugs for treatment of lepra,Drugs for treatment of lepra,0.33,g,,
AMK,37768.0,Amikacin,Aminoglycoside antibacterials,Other aminoglycosides,,,1.0,g
AKF,,Amikacin/fosfomycin,,,,,,
AMO,54260.0,Amorolfine,Antifungals for topical use,Other antifungals for topical use,,,,
AMX,33613.0,Amoxicillin,"Beta-lactam antibacterials, penicillins",Penicillins with extended spectrum,1.5,g,3.0,g
AMC,23665637.0,Amoxicillin/clavulanic acid,"Beta-lactam antibacterials, penicillins","Combinations of penicillins, incl. beta-lactamase inhibitors",1.5,g,3.0,g
AXS,465441.0,Amoxicillin/sulbactam,,,1.5,g,3.0,g
AMB,5280965.0,Amphotericin B,Antimycotics for systemic use,Antibiotics,40.0,mg,210.0,mg
AMH,,Amphotericin B-high,,,,,,
AMP,6249.0,Ampicillin,"Beta-lactam antibacterials, penicillins",Penicillins with extended spectrum,2.0,g,6.0,g
SAM,119561.0,Ampicillin/sulbactam,"Beta-lactam antibacterials, penicillins","Combinations of penicillins, incl. beta-lactamase inhibitors",,,6.0,g
AMR,73341.0,Amprolium,,,,,,
ANI,166548.0,Anidulafungin,Antimycotics for systemic use,Other antimycotics for systemic use,,,0.1,g
APL,6602341.0,Apalcillin,,,,,,
APR,3081545.0,Apramycin,,,,,,
ARB,68682.0,Arbekacin,,,,,0.2,g
APX,71961.0,Aspoxicillin,,,,,4.0,g
AST,5284517.0,Astromicin,,,,,,
AVB,9835049.0,Avibactam,,,,,,
AVI,71674.0,Avilamycin,,,,,,
AVO,16131159.0,Avoparcin,,,,,,
AZD,15574941.0,Azidocillin,"Beta-lactam antibacterials, penicillins",Beta-lactamase sensitive penicillins,1.5,g,,
AZM,447043.0,Azithromycin,"Macrolides, lincosamides and streptogramins",Macrolides,0.3,g,0.5,g
AFC,,Azithromycin/fluconazole/secnidazole,Combinations of antibacterials,Combinations of antibacterials,,,,
AZL,6479523.0,Azlocillin,"Beta-lactam antibacterials, penicillins",Penicillins with extended spectrum,,,12.0,g
ATM,5742832.0,Aztreonam,Other beta-lactam antibacterials,Monobactams,,,4.0,g
AZA,,Aztreonam/avibactam,,,,,,
ANC,,Aztreonam/nacubactam,,,,,,
BAM,441397.0,Bacampicillin,"Beta-lactam antibacterials, penicillins",Penicillins with extended spectrum,1.2,g,,
BAC,78358334.0,Bacitracin,,,,,,
BDQ,5388906.0,Bedaquiline,,,86.0,mg,,
BEK,439318.0,Bekanamycin,,,,,0.6,g
BNB,,Benzathine benzylpenicillin,"Beta-lactam antibacterials, penicillins",Beta-lactamase sensitive penicillins,,,3.6,g
BNP,64725.0,Benzathine phenoxymethylpenicillin,"Beta-lactam antibacterials, penicillins",Beta-lactamase sensitive penicillins,2.0,g,,
PEN,5904.0,Benzylpenicillin,Combinations of antibacterials,Combinations of antibacterials,,,3.6,g
PEN-S,,Benzylpenicillin screening test,,,,,,
BES,10178705.0,Besifloxacin,,,,,,
BLA-S,,Beta-lactamase screening test,,,,,,
BIA,71339.0,Biapenem,,,,,1.2,g
BCZ,65807.0,Bicyclomycin,,,,,,
BLM,5360373.0,Bleomycin,,,,,,
BDP,68760.0,Brodimoprim,Sulfonamides and trimethoprim,Trimethoprim and derivatives,0.2,g,,
BUT,47472.0,Butoconazole,,,,,,
CDZ,44242317.0,Cadazolid,,,,,,
CLA,,Calcium aminosalicylate,Drugs for treatment of tuberculosis,Aminosalicylic acid and derivatives,15.0,g,,
CAP,135565060.0,Capreomycin,Drugs for treatment of tuberculosis,Antibiotics,,,1.0,g
CRB,20824.0,Carbenicillin,"Beta-lactam antibacterials, penicillins",Penicillins with extended spectrum,,,12.0,g
CRN,93184.0,Carindacillin,"Beta-lactam antibacterials, penicillins",Penicillins with extended spectrum,4.0,g,,
CAR,6540466.0,Carumonam,,,,,2.0,g
CAS,2826718.0,Caspofungin,Antimycotics for systemic use,Other antimycotics for systemic use,,,50.0,mg
CAC,91562.0,Cefacetrile,Other beta-lactam antibacterials,First-generation cephalosporins,,,,
CEC,51039.0,Cefaclor,Other beta-lactam antibacterials,Second-generation cephalosporins,1.0,g,,
CFR,47965.0,Cefadroxil,Other beta-lactam antibacterials,First-generation cephalosporins,2.0,g,,
LEX,27447.0,Cefalexin,Other beta-lactam antibacterials,First-generation cephalosporins,2.0,g,,
RID,5773.0,Cefaloridine,Other beta-lactam antibacterials,First-generation cephalosporins,,,3.0,g
CEP,6024.0,Cefalotin,Other beta-lactam antibacterials,First-generation cephalosporins,,,4.0,g
MAN,456255.0,Cefamandole,Other beta-lactam antibacterials,Second-generation cephalosporins,,,6.0,g
HAP,30699.0,Cefapirin,Other beta-lactam antibacterials,First-generation cephalosporins,,,4.0,g
CTZ,6410758.0,Cefatrizine,Other beta-lactam antibacterials,First-generation cephalosporins,1.0,g,,
CZD,71736.0,Cefazedone,Other beta-lactam antibacterials,First-generation cephalosporins,,,3.0,g
CZO,33255.0,Cefazolin,Other beta-lactam antibacterials,First-generation cephalosporins,,,3.0,g
CFB,127527.0,Cefbuperazone,,,,,2.0,g
CCP,6436055.0,Cefcapene,,,0.45,g,,
CCX,5282438.0,Cefcapene pivoxil,,,,,,
CDR,6915944.0,Cefdinir,Other beta-lactam antibacterials,Third-generation cephalosporins,0.6,g,,
DIT,9870843.0,Cefditoren,Other beta-lactam antibacterials,Third-generation cephalosporins,0.4,g,,
DIX,6437877.0,Cefditoren pivoxil,,,,,,
FEP,5479537.0,Cefepime,Other beta-lactam antibacterials,Fourth-generation cephalosporins,,,4.0,g
CFA,,Cefepime/amikacin,Combinations of antibacterials,Combinations of antibacterials,,,,
CPC,9567559.0,Cefepime/clavulanic acid,,,,,,
FPE,23653540.0,Cefepime/enmetazobactam,,,,,,
FNC,,Cefepime/nacubactam,,,,,,
FTA,,Cefepime/taniborbactam,,,,,,
FPT,9567558.0,Cefepime/tazobactam,,,,,,
FPZ,,Cefepime/zidebactam,,,,,,
CAT,5487888.0,Cefetamet,Other beta-lactam antibacterials,Third-generation cephalosporins,1.0,g,,
CPI,5486182.0,Cefetamet pivoxil,,,,,,
CCL,71719688.0,Cefetecol,,,,,,
CZL,193956.0,Cefetrizole,,,,,,
FDC,77843966.0,Cefiderocol,,,,,6.0,g
CFM,5362065.0,Cefixime,Other beta-lactam antibacterials,Third-generation cephalosporins,0.4,g,,
CEO,,Cefixime/ornidazole,Combinations of antibacterials,Combinations of antibacterials,,,,
CMX,9570757.0,Cefmenoxime,Other beta-lactam antibacterials,Third-generation cephalosporins,,,2.0,g
CMZ,42008.0,Cefmetazole,Other beta-lactam antibacterials,Second-generation cephalosporins,,,4.0,g
CNX,71141.0,Cefminox,,,,,4.0,g
DIZ,5361871.0,Cefodizime,Other beta-lactam antibacterials,Third-generation cephalosporins,,,2.0,g
CID,43594.0,Cefonicid,Other beta-lactam antibacterials,Second-generation cephalosporins,,,1.0,g
CFP,44187.0,Cefoperazone,Other beta-lactam antibacterials,Third-generation cephalosporins,,,4.0,g
CSL,,Cefoperazone/sulbactam,Other beta-lactam antibacterials,Third-generation cephalosporins,,,4.0,g
