guideline,type,host,method,site,mo,rank_index,ab,ref_tbl,disk_dose,breakpoint_S,breakpoint_R,uti,is_SDD
EUCAST 2025,human,human,DISK,,B_ACHRMB_XYLS,2.0,MEM,A. xylosoxidans,10 mcg,26.0,20.0,False,False
EUCAST 2025,human,human,MIC,,B_ACHRMB_XYLS,2.0,MEM,A. xylosoxidans,,1.0,4.0,False,False
EUCAST 2025,human,human,DISK,,B_ACHRMB_XYLS,2.0,SXT,A. xylosoxidans,1.25/23.75 mcg,26.0,26.0,False,False
EUCAST 2025,human,human,MIC,,B_ACHRMB_XYLS,2.0,SXT,A. xylosoxidans,,0.125,0.125,False,False
EUCAST 2025,human,human,DISK,,B_ACHRMB_XYLS,2.0,TZP,A. xylosoxidans,30/6 mcg,26.0,26.0,False,False
EUCAST 2025,human,human,MIC,,B_ACHRMB_XYLS,2.0,TZP,A. xylosoxidans,,4.0,4.0,False,False
EUCAST 2025,human,human,DISK,,B_ACNTB,3.0,AMK,Acinetobacter spp.,30 mcg,19.0,19.0,False,False
EUCAST 2025,human,human,DISK,Uncomplicated urinary tract infection,B_ACNTB,3.0,AMK,Acinetobacter spp.,30 mcg,19.0,19.0,True,False
EUCAST 2025,human,human,MIC,,B_ACNTB,3.0,AMK,Acinetobacter spp.,,8.0,8.0,False,False
EUCAST 2025,human,human,MIC,Uncomplicated urinary tract infection,B_ACNTB,3.0,AMK,Acinetobacter spp.,,8.0,8.0,True,False
EUCAST 2025,human,human,DISK,,B_ACNTB,3.0,CIP,Acinetobacter spp.,5 mcg,50.0,21.0,False,False
EUCAST 2025,human,human,MIC,,B_ACNTB,3.0,CIP,Acinetobacter spp.,,0.0001,1.0,False,False
EUCAST 2025,human,human,MIC,,B_ACNTB,3.0,COL,Acinetobacter spp.,,2.0,2.0,False,False
EUCAST 2025,human,human,DISK,,B_ACNTB,3.0,DOR,Acinetobacter spp.,10 mcg,50.0,22.0,False,False
EUCAST 2025,human,human,MIC,,B_ACNTB,3.0,DOR,Acinetobacter spp.,,0.0001,2.0,False,False
EUCAST 2025,human,human,DISK,,B_ACNTB,3.0,GEN,Acinetobacter spp.,10 mcg,17.0,17.0,False,False
