mo,fullname,genus,species,kingdom,phylum,class,fullname
B_MYCBC_CNCP,Mycobacterium conceptionense,Mycobacterium,conceptionense,Bacteria,Actinomycetota,Actinomycetes,Mycobacterium conceptionense
F_ASPRG_SPRL,Aspergillus spiralis,Aspergillus,spiralis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus spiralis
F_ASPRG_SPNL,Aspergillus spinulosporus,Aspergillus,spinulosporus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus spinulosporus
F_ASPRG_SPNS,Aspergillus spinosus,Aspergillus,spinosus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus spinosus
F_ASPRG_SPCL,Aspergillus spiculosus,Aspergillus,spiculosus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus spiculosus
F_ASPRG_SPLN,Aspergillus spelunceus,Aspergillus,spelunceus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus spelunceus
F_ASPRG_SPLS,Aspergillus spelaeus,Aspergillus,spelaeus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus spelaeus
F_ASPRG_STLM,Aspergillus stella-maris,Aspergillus,stella-maris,Fungi,Ascomycota,Eurotiomycetes,Aspergillus stella-maris
F_ASPRG_SPCT,Aspergillus spectabilis,Aspergillus,spectabilis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus spectabilis
F_ASPRG_SPRS,Aspergillus sparsus,Aspergillus,sparsus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus sparsus
F_ASPRG_SOJA_SOJA,Aspergillus sojae sojae,Aspergillus,sojae,Fungi,Ascomycota,Eurotiomycetes,Aspergillus sojae sojae
F_ASPRG_SOJA,Aspergillus sojae,Aspergillus,sojae,Fungi,Ascomycota,Eurotiomycetes,Aspergillus sojae
F_ASPRG_SLON,Aspergillus sloanii,Aspergillus,sloanii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus sloanii
F_ASPRG_SMPL,Aspergillus simplex,Aspergillus,simplex,Fungi,Ascomycota,Eurotiomycetes,Aspergillus simplex
F_ASPRG_SMLN,Aspergillus similanensis,Aspergillus,similanensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus similanensis
F_ASPRG_SPTH,Aspergillus spathulatus,Aspergillus,spathulatus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus spathulatus
F_ASPRG_SLVT,Aspergillus silvaticus,Aspergillus,silvaticus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus silvaticus
F_ASPRG_STLL,Aspergillus stellatus,Aspergillus,stellatus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus stellatus
F_ASPRG_STLLF,Aspergillus stelliformis,Aspergillus,stelliformis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus stelliformis
F_ASPRG_LVCS,Aspergillus subolivaceus,Aspergillus,subolivaceus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus subolivaceus
F_ASPRG_SBCH,Aspergillus subochraceus,Aspergillus,subochraceus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus subochraceus
F_ASPRG_SBNT,Aspergillus subnutans,Aspergillus,subnutans,Fungi,Ascomycota,Eurotiomycetes,Aspergillus subnutans
F_ASPRG_SBLV,Aspergillus sublevisporus,Aspergillus,sublevisporus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus sublevisporus
F_ASPRG_SBNF,Aspergillus subinflatus,Aspergillus,subinflatus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus subinflatus
F_ASPRG_SBGR,Aspergillus subgriseus,Aspergillus,subgriseus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus subgriseus
F_ASPRG_LLFR,Aspergillus stellifer,Aspergillus,stellifer,Fungi,Ascomycota,Eurotiomycetes,Aspergillus stellifer
F_ASPRG_SBFL,Aspergillus subflavus,Aspergillus,subflavus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus subflavus
F_ASPRG_MTDS,Aspergillus stromatoides,Aspergillus,stromatoides,Fungi,Ascomycota,Eurotiomycetes,Aspergillus stromatoides
F_ASPRG_TRTS,Aspergillus striatus,Aspergillus,striatus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus striatus
F_ASPRG_STYN,Aspergillus steynii,Aspergillus,steynii,Fungi,Ascomycota,Eurotiomycetes,Aspergillus steynii
F_ASPRG_STRG,Aspergillus sterigmatophorus,Aspergillus,sterigmatophorus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus sterigmatophorus
F_ASPRG_RCRS,Aspergillus stercoreus,Aspergillus,stercoreus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus stercoreus
F_ASPRG_STRC,Aspergillus stercorarius,Aspergillus,stercorarius,Fungi,Ascomycota,Eurotiomycetes,Aspergillus stercorarius
F_ASPRG_SBLB,Aspergillus subalbidus,Aspergillus,subalbidus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus subalbidus
F_ASPRG_SBQR,Aspergillus subquercinus,Aspergillus,subquercinus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus subquercinus
F_ASPRG_SGRR,Aspergillus sigurros,Aspergillus,sigurros,Fungi,Ascomycota,Eurotiomycetes,Aspergillus sigurros
F_ASPRG_SCHN,Aspergillus sichuanensis,Aspergillus,sichuanensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus sichuanensis
F_ASPRG_SLSB,Aspergillus salisburgensis,Aspergillus,salisburgensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus salisburgensis
F_ASPRG_SLNC,Aspergillus salinicola,Aspergillus,salinicola,Fungi,Ascomycota,Eurotiomycetes,Aspergillus salinicola
F_ASPRG_SLNRM,Aspergillus salinarum,Aspergillus,salinarum,Fungi,Ascomycota,Eurotiomycetes,Aspergillus salinarum
F_ASPRG_SCCH,Aspergillus saccharolyticus,Aspergillus,saccharolyticus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus saccharolyticus
F_ASPRG_RCLA,Aspergillus saccharicola,Aspergillus,saccharicola,Fungi,Ascomycota,Eurotiomycetes,Aspergillus saccharicola
F_ASPRG_SCCHR,Aspergillus sacchari,Aspergillus,sacchari,Fungi,Ascomycota,Eurotiomycetes,Aspergillus sacchari
F_ASPRG_SLVC,Aspergillus salviicola,Aspergillus,salviicola,Fungi,Ascomycota,Eurotiomycetes,Aspergillus salviicola
F_ASPRG_RTLN,Aspergillus rutilans,Aspergillus,rutilans,Fungi,Ascomycota,Eurotiomycetes,Aspergillus rutilans
F_ASPRG_RFSC,Aspergillus rufescens,Aspergillus,rufescens,Fungi,Ascomycota,Eurotiomycetes,Aspergillus rufescens
F_ASPRG_RBRB,Aspergillus rubrobrunneus,Aspergillus,rubrobrunneus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus rubrobrunneus
F_ASPRG_RNNSS,Aspergillus rouenensis,Aspergillus,rouenensis,Fungi,Ascomycota,Eurotiomycetes,Aspergillus rouenensis
F_ASPRG_RSVL,Aspergillus roseovelutinus,Aspergillus,roseovelutinus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus roseovelutinus
F_ASPRG_RSGL,Aspergillus roseoglobulosus,Aspergillus,roseoglobulosus,Fungi,Ascomycota,Eurotiomycetes,Aspergillus roseoglobulosus
