organism_group,antibiotic,n_isolates,pct_susceptible,pct_intermediate,pct_resistant
Acinetobacter baumannii,amikacin,1410,56.0,4.8,39.1
Acinetobacter baumannii,amoxicillin-clavulanic acid,14,0.0,0.0,100.0
Acinetobacter baumannii,ampicillin,673,0.1,0.1,99.7
Acinetobacter baumannii,ampicillin-sulbactam,1247,48.0,14.5,37.5
Acinetobacter baumannii,azithromycin,5,80.0,0.0,20.0
Acinetobacter baumannii,aztreonam,751,0.1,2.3,97.6
Acinetobacter baumannii,cefazolin,666,0.2,0.0,99.8
Acinetobacter baumannii,cefepime,408,37.3,8.3,54.4
Acinetobacter baumannii,cefotaxime,687,4.1,6.1,89.8
Acinetobacter baumannii,cefotetan,105,1.0,0.0,99.0
Acinetobacter baumannii,cefoxitin,478,0.0,0.0,100.0
Acinetobacter baumannii,cefpodoxime,4,100.0,0.0,0.0
Acinetobacter baumannii,ceftazidime,1482,19.6,17.9,62.4
Acinetobacter baumannii,ceftiofur,76,98.7,0.0,1.3
Acinetobacter baumannii,ceftriaxone,1332,6.6,8.0,85.4
Acinetobacter baumannii,cefuroxime,7,0.0,0.0,100.0
Acinetobacter baumannii,cephalothin,4,0.0,0.0,100.0
Acinetobacter baumannii,chloramphenicol,6,0.0,0.0,100.0
Acinetobacter baumannii,ciprofloxacin,1632,22.5,1.3,76.2
Acinetobacter baumannii,colistin,387,89.9,1.8,8.3
Acinetobacter baumannii,doripenem,396,60.1,0.3,39.6
Acinetobacter baumannii,enrofloxacin,76,92.1,2.6,5.3
Acinetobacter baumannii,ertapenem,9,0.0,11.1,88.9
Acinetobacter baumannii,gentamicin,1659,20.0,6.9,73.1
Acinetobacter baumannii,imipenem,1410,59.9,4.8,35.3
Acinetobacter baumannii,levofloxacin,1280,17.5,23.5,59.0
Acinetobacter baumannii,marbofloxacin,76,88.2,5.3,6.6
Acinetobacter baumannii,meropenem,841,51.8,5.5,42.7
Acinetobacter baumannii,minocycline,255,61.2,28.2,10.6
Acinetobacter baumannii,moxifloxacin,92,27.2,9.8,63.0
Acinetobacter baumannii,nalidixic acid,4,100.0,0.0,0.0
Acinetobacter baumannii,nitrofurantoin,662,0.0,0.0,100.0
Acinetobacter baumannii,piperacillin-tazobactam,296,32.8,6.8,60.5
Acinetobacter baumannii,polymyxin B,328,79.6,0.0,20.4
Acinetobacter baumannii,streptomycin,4,100.0,0.0,0.0
Acinetobacter baumannii,sulfisoxazole,4,100.0,0.0,0.0
Acinetobacter baumannii,tetracycline,972,29.5,4.9,65.5
Acinetobacter baumannii,ticarcillin-clavulanic acid,3,33.3,0.0,66.7
Acinetobacter baumannii,tigecycline,394,91.9,6.3,1.8
Acinetobacter baumannii,tobramycin,1334,36.7,9.1,54.2
Acinetobacter baumannii,trimethoprim-sulfamethoxazole,1172,20.0,0.0,80.0
Burkholderia cepacia complex,ceftazidime,5,100.0,0.0,0.0
Burkholderia cepacia complex,colistin,4,0.0,0.0,100.0
